id,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,return_on_capital_employed_pct,return_on_assets_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score,created_at,sector,sales,interest,net_profit,price_date,close_price,pe,pb,dividend_yield,icr_label,year_int,prev_de,de_declining_yoy,sales_3y_ago,revenue_cagr_3yr,fcf_cagr_5yr,cfo_pat_ratio,fcf_positive,roe_score,roce_score,npm_score,fcf_cagr_score,cfo_pat_score,fcf_flag_score,rev_cagr_score,pat_cagr_score,de_score,icr_score,overall_rank
1163,INDIGO,Mar 2024,11.85,76.3,892.57,5640.88,668.33,0.02,22.61,56.39,9424.0,11759.0,212.0,190.62,0.0,17.0,21183.0,19.31,120.69,121.24,88.85,2026-07-27 05:42:41,Consumer Discretionary,68904.0,2326.0,8167.0,2024-03-01,5130.15,24.2,26.91,0.0,Strong,2024.0,0.02,False,14641.0,67.58,71.57,2.5937,1.0,100.0,100.0,41.1906538836902,99.99999999999999,99.99999999999999,100.0,90.0204498977505,100.0,99.14686166971359,16.32964382006527,1
72,ADANIPOWER,Mar 2024,41.37,36.2,48.28,23.44,22.64,0.8,8.3,0.55,17651.0,3481.0,54.0,111.86,0.0,34616.0,14170.0,16.09,,,75.01,2026-07-27 05:42:41,Energy,50351.0,3388.0,20829.0,2024-03-01,1814.33,33.6,16.22,0.0,Strong,2024.0,1.42,True,26221.0,24.29,30.71,0.6803,1.0,100.0,97.47274171420318,100.0,90.25368603642671,0.0,100.0,73.48080847982091,28.199449701362322,82.77330809275911,65.65271074194635,3
111,ASIANPAINT,Mar 2024,15.66,21.37,29.68,35.77,18.59,0.13,41.0,1.19,3556.0,2548.0,57.0,195.08,58.0,2474.0,6104.0,13.03,20.28,20.97,73.93,2026-07-27 05:42:41,Materials,35495.0,205.0,5558.0,2024-03-01,4645.81,81.51,23.81,0.71,Strong,2024.0,0.12,False,21713.0,17.8,18.04,1.0982,1.0,88.58847797259465,22.5919514436537,85.3266888150609,75.79009260620315,20.274794771955065,100.0,94.84349919743177,100.0,90.87048832271762,57.55527691978347,4
634,IRCTC,Mar 2024,26.02,34.33,34.4,44.56,18.24,0.02,82.74,0.7,667.0,215.0,14.0,40.38,47.0,60.0,882.0,17.96,29.17,28.47,71.99,2026-07-27 05:42:41,Consumer Discretionary,4270.0,19.0,1111.0,2024-03-01,8544.03,610.29,211.59,0.08,Strong,2024.0,0.03,True,777.0,76.47,35.5,0.7939,1.0,87.10457036813258,22.847408289504127,100.0,84.14575183508416,37.71827797206197,100.0,80.81799591002044,37.693643872522934,99.14686166971359,69.65907478359586,5
891,PIDILITIND,Mar 2024,14.11,21.87,20.78,30.81,14.47,0.05,54.33,1.03,955.0,1769.0,34.0,164.84,47.0,382.0,2724.0,11.84,13.49,13.56,70.95,2026-07-27 05:42:41,Materials,12383.0,51.0,1747.0,2024-03-01,608.58,17.9,3.69,2.63,Strong,2024.0,0.05,False,7293.0,19.3,23.53,1.5592,1.0,55.80521585383821,17.29178688209271,74.5985603543743,100.00000000000001,58.385622049717675,100.0,82.90529695024077,54.26704777460186,99.36305732484077,77.93816324658245,6
826,NESTLEIND,Mar 2024,16.12,23.83,117.75,157.75,37.38,0.1,41.19,2.32,2938.0,1237.0,41.0,34.79,79.0,345.0,4175.0,14.55,14.85,15.44,70.18,2026-07-27 05:42:41,Consumer Staples,24394.0,145.0,3933.0,2024-03-01,703.37,17.16,20.22,4.6,Strong,2024.0,0.11,True,14741.0,18.28,4.32,1.0615,1.0,100.0,100.0,69.91773111063,44.0703125,19.316960224923516,100.0,92.81345565749236,68.99402847955902,76.3005780346821,16.729302995737516,7
571,ICICIGI,Mar 2024,9.37,87.42,15.72,146.32,3.03,0.0,160.03,0.32,486.0,1921.0,39.0,247.57,28.0,35.0,2407.0,12.91,12.84,11.14,61.71,2026-07-27 05:42:41,Financials,20487.0,112.0,1919.0,2024-03-01,2023.26,51.88,8.17,0.54,Strong,2024.0,0.0,False,12161.0,18.99,32.28,1.2543,1.0,31.52874621760295,100.0,24.14862768898779,100.0,78.11017913678728,100.0,9.408689970597834,8.147155198093536,100.0,100.0,12
1137,TRENT,Mar 2024,11.94,15.93,36.31,33.86,20.62,0.43,8.04,1.73,841.0,508.0,42.0,113.0,8.0,1753.0,1349.0,36.31,73.11,69.52,60.92,2026-07-27 05:42:41,Consumer Discretionary,12375.0,368.0,1477.0,2024-03-01,1068.56,25.44,9.46,0.31,Strong,2024.0,1.72,True,2593.0,68.36,,0.9133,1.0,95.34763281688318,13.998875326651437,41.70733107526262,28.170190321304556,42.362945357083106,100.0,100.0,100.0,74.16209628275442,3.407478359585639,14
1085,TCS,Mar 2024,19.14,26.69,50.94,65.27,31.69,0.09,87.1,1.66,50429.0,6091.0,127.0,249.97,58.0,8021.0,44338.0,10.46,7.87,8.62,59.4,2026-07-27 05:42:41,Information Technology,240893.0,778.0,46099.0,2024-03-01,4752.76,37.42,19.01,1.55,Strong,2024.0,0.09,False,164177.0,13.63,10.77,0.9618,1.0,100.0,100.0,100.0,15.548780487804873,0.06464767019742426,100.0,8.671250175389368,49.60982025427443,62.50000000000006,99.61970300615721,16
481,HCLTECH,Mar 2024,14.29,22.02,23.01,32.69,15.87,0.08,46.46,1.11,15840.0,6608.0,58.0,251.43,90.0,5758.0,22448.0,12.71,9.19,9.41,57.99,2026-07-27 05:42:41,Information Technology,109913.0,553.0,15710.0,2024-03-01,834.68,14.39,3.32,6.25,Strong,2024.0,0.07,False,75379.0,13.4,22.62,1.4289,1.0,30.280025782424982,35.48618586293505,61.23627960716348,100.0,38.778656323039435,100.0,24.45629297039428,55.39675580885576,100.0,38.289267173729336,18
761,LTIM,Mar 2024,12.91,17.98,22.9,28.91,16.65,0.1,31.93,1.29,1752.0,3918.0,155.0,667.27,42.0,2071.0,5670.0,30.33,24.78,12.24,54.45,2026-07-27 05:42:41,Information Technology,35517.0,222.0,4585.0,2024-03-01,1882.58,12.15,2.82,3.46,Strong,2024.0,0.09,False,12370.0,42.13,22.08,1.2366,1.0,29.88612762300364,24.183710082526012,47.94916233391103,97.64808362369337,22.84051917052065,100.0,100.0,99.99999999999999,0.0,16.361825425570448,21
