company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,return_on_capital_employed_pct,return_on_assets_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score
ADANIENT,Mar 2023,1.9,6.91,7.33,10.22,1.71,1.61,2.43,0.9,2167.0,15459.0,22.0,289.92,6.0,53200.0,17626.0,28.84,32.46,25.74,61.74
ADANIENT,Mar 2024,3.46,11.8,8.53,10.9,2.08,1.67,2.75,0.6,-8455.0,18767.0,28.0,342.77,5.0,65310.0,10312.0,19.02,45.81,31.95,63.57
ADANIENT,TTM,5.95,13.58,,,,,3.71,,,,49.0,,,,,,,,30.11
ADANIGREEN,Mar 2017,-9.36,80.28,-3.91,7.26,-0.76,3.61,1.45,0.08,-1483.0,1511.0,0.0,9.44,0.0,4347.0,28.0,,,,12.93
ADANIGREEN,Mar 2018,-9.32,56.96,-10.29,7.52,-0.88,7.36,1.6,0.09,-3779.0,4428.0,-1.0,8.57,0.0,9864.0,649.0,,,,13.64
ADANIGREEN,Mar 2019,-23.08,74.15,-24.57,11.67,-3.24,5.76,1.43,0.14,-1041.0,2666.0,-3.0,12.36,0.0,11142.0,1625.0,,,,20.25
ADANIGREEN,Mar 2020,-2.67,56.89,-2.89,8.42,-0.37,6.31,1.35,0.14,-1778.0,3743.0,0.0,15.07,0.0,14866.0,1965.0,,,,14.68
ADANIGREEN,Mar 2021,5.83,71.73,8.27,8.49,0.63,11.0,1.35,0.11,-7536.0,9137.0,1.0,14.07,0.0,24209.0,1601.0,,,,38.78
ADANIGREEN,Mar 2022,9.53,68.42,18.71,6.33,0.83,20.21,1.54,0.09,-15603.0,18730.0,3.0,16.71,0.0,52832.0,3127.0,59.2,,,59.58
ADANIGREEN,Mar 2023,12.51,63.91,13.32,8.08,1.45,7.42,1.94,0.12,3408.0,3857.0,6.0,46.11,0.0,54223.0,7265.0,39.35,,,55.82
ADANIGREEN,Mar 2024,13.67,79.37,12.81,9.8,1.43,6.6,1.71,0.1,-13347.0,21060.0,7.0,62.08,0.0,64858.0,7713.0,34.98,,,56.94
ADANIGREEN,TTM,17.88,75.13,,,,,1.81,,,,9.0,,0.0,,,,,,9.0
ADANIPORTS,Mar 2013,45.82,66.59,25.63,13.22,7.79,1.82,5.03,0.17,-3757.0,5136.0,8.0,31.89,12.0,11620.0,1379.0,,,,67.57
ADANIPORTS,Mar 2014,36.05,60.43,19.86,13.42,7.06,1.48,3.69,0.2,-1378.0,2510.0,8.0,42.34,12.0,12979.0,1132.0,,,,66.05
ADANIPORTS,Mar 2015,37.78,63.43,21.59,13.67,7.24,1.65,3.9,0.19,572.0,2485.0,11.0,52.0,10.0,17776.0,3057.0,,,,70.32
ADANIPORTS,Mar 2016,40.17,64.38,21.15,12.77,7.44,1.65,4.72,0.19,-1772.0,4153.0,14.0,65.24,8.0,22342.0,2381.0,,,,67.91
ADANIPORTS,Mar 2017,46.24,64.2,22.26,13.63,9.0,1.27,5.78,0.19,1434.0,2629.0,19.0,84.67,7.0,22214.0,4063.0,,,,76.87
