Company,Revenue_3Y,Revenue_3Y_Flag,Revenue_5Y,Revenue_5Y_Flag,Revenue_10Y,Revenue_10Y_Flag,PAT_3Y,PAT_3Y_Flag,PAT_5Y,PAT_5Y_Flag,PAT_10Y,PAT_10Y_Flag,EPS_3Y,EPS_3Y_Flag,EPS_5Y,EPS_5Y_Flag,EPS_10Y,EPS_10Y_Flag,Growth_Label
PFC,8.49,VALID,11.08,VALID,15.64,VALID,18.97,VALID,15.92,VALID,17.09,VALID,18.56,VALID,14.87,VALID,13.44,VALID,Strong Growth
PIDILITIND,19.3,VALID,11.84,VALID,11.2,VALID,15.77,VALID,13.49,VALID,14.53,VALID,15.62,VALID,13.56,VALID,14.22,VALID,Strong Growth
PNB,10.0,VALID,15.9,VALID,9.27,VALID,50.34,VALID,,TURNAROUND,9.56,VALID,58.74,VALID,,TURNAROUND,-8.76,VALID,Strong Growth
POWERGRID,4.97,VALID,5.51,VALID,11.41,VALID,8.97,VALID,9.19,VALID,13.1,VALID,9.35,VALID,9.1,VALID,13.02,VALID,Moderate
RECLTD,10.15,VALID,13.34,VALID,10.68,VALID,19.08,VALID,19.76,VALID,11.55,VALID,19.06,VALID,19.67,VALID,11.61,VALID,Strong Growth
RELIANCE,24.46,VALID,9.61,VALID,7.57,VALID,13.71,VALID,14.68,VALID,13.36,VALID,9.35,VALID,11.95,VALID,12.29,VALID,Moderate
SBILIFE,17.24,VALID,24.23,VALID,22.56,VALID,9.16,VALID,7.37,VALID,10.03,VALID,8.2,VALID,7.89,VALID,10.5,VALID,High Growth
SBIN,16.45,VALID,11.63,VALID,8.79,VALID,42.79,VALID,83.41,VALID,16.73,VALID,44.22,VALID,90.37,VALID,14.72,VALID,Strong Growth
SHREECEM,14.81,VALID,10.33,VALID,13.64,VALID,-9.49,VALID,11.29,VALID,8.21,VALID,-9.43,VALID,10.68,VALID,7.82,VALID,Strong Growth
SHRIRAMFIN,27.83,VALID,18.56,VALID,15.68,VALID,43.59,VALID,23.49,VALID,18.48,VALID,29.4,VALID,14.29,VALID,13.49,VALID,Strong Growth
SIEMENS,19.0,VALID,11.19,VALID,7.61,VALID,35.65,VALID,19.85,VALID,16.25,VALID,34.84,VALID,19.64,VALID,16.15,VALID,Strong Growth
SUNPHARMA,13.13,VALID,10.78,VALID,11.67,VALID,61.72,VALID,24.54,VALID,9.5,VALID,49.38,VALID,29.46,VALID,10.31,VALID,Strong Growth
TATACONSUM,9.44,VALID,15.96,VALID,6.99,VALID,9.32,VALID,21.6,VALID,9.07,VALID,10.06,VALID,14.87,VALID,5.54,VALID,Strong Growth
TATAMOTORS,20.58,VALID,7.72,VALID,6.52,VALID,,TURNAROUND,,TURNAROUND,8.51,VALID,,TURNAROUND,,TURNAROUND,6.95,VALID,Moderate
TATAPOWER,23.4,VALID,15.51,VALID,5.57,VALID,43.81,VALID,10.43,VALID,79.98,VALID,44.22,VALID,5.92,VALID,,TURNAROUND,Strong Growth
TATASTEEL,13.61,VALID,7.77,VALID,4.43,VALID,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS,Moderate
TCS,13.63,VALID,10.46,VALID,11.4,VALID,12.29,VALID,7.87,VALID,9.08,VALID,13.01,VALID,8.62,VALID,9.99,VALID,Strong Growth
TECHM,11.16,VALID,8.4,VALID,10.71,VALID,-18.04,VALID,-10.99,VALID,-2.42,VALID,-19.5,VALID,-11.42,VALID,-2.84,VALID,Moderate
TITAN,33.14,VALID,20.9,VALID,16.68,VALID,53.11,VALID,20.27,VALID,16.88,VALID,52.48,VALID,19.51,VALID,17.16,VALID,High Growth
TORNTPHARM,10.25,VALID,6.93,VALID,9.9,VALID,9.77,VALID,30.59,VALID,9.57,VALID,9.82,VALID,30.39,VALID,9.37,VALID,Moderate
TRENT,68.36,VALID,36.31,VALID,18.16,VALID,,TURNAROUND,73.11,VALID,,TURNAROUND,,TURNAROUND,69.52,VALID,,TURNAROUND,High Growth
TVSMOTOR,26.32,VALID,14.19,VALID,16.66,VALID,43.03,VALID,19.67,VALID,25.27,VALID,40.43,VALID,19.14,VALID,24.57,VALID,Strong Growth
